iter	Passed	Remaining
807	22333	32947
808	22371	32935
809	22403	32913
810	22429	32884
811	22453	32850
812	22479	32820
813	22505	32791
814	22535	32766
815	22561	32735
816	22591	32711
817	22626	32695
818	22659	32674
819	22684	32643
820	22720	32627
821	22756	32612
822	22791	32595
823	22820	32568
824	22847	32540
825	22878	32516
826	22912	32498
827	22944	32477
828	22979	32459
829	23007	32431
830	23035	32404
831	23062	32376
832	23088	32346
833	23119	32322
834	23147	32295
835	23177	32270
836	23209	32248
837	23240	32225
838	23274	32207
839	23306	32184
840	23331	32153
841	23362	32130
842	23393	32106
843	23424	32083
844	23457	32062
845	23488	32040
846	23520	32017
847	23558	32004
848	23591	31982
849	23626	31965
850	23652	31934
851	23681	31908
852	23718	31893
853	23755	31878
854	23782	31849
855	23810	31821
856	23842	31798
857	23867	31767
858	23895	31740
859	23925	31714
860	23951	31685
861	23975	31652
862	24002	31622
863	24028	31592
864	24057	31566
865	24081	31534
866	24108	31505
867	24136	31477
868	24165	31451
869	24198	31429
870	24224	31399
871	24250	31369
872	24278	31342
873	24305	31313
874	24330	31281
875	24363	31260
876	24387	31228
877	24412	31196
878	24440	31169
879	24467	31140
880	24498	31116
881	24523	31085
882	24557	31065
883	24587	31040
884	24619	31017
885	24641	30982
886	24676	30963
887	24713	30947
888	24767	30952
889	24807	30940
890	24840	30917
891	24875	30898
892	24905	30874
893	24933	30846
894	24962	30819
895	24992	30793
896	25015	30760
897	25046	30736
898	25069	30702
899	25099	30677
900	25124	30646
901	25150	30615
902	25179	30589
903	25209	30563
904	25239	30538
905	25263	30505
906	25291	30478
907	25318	30448
908	25347	30422
909	25376	30395
910	25403	30366
911	25433	30341
912	25461	30313
913	25485	30281
914	25512	30252
915	25544	30229
916	25574	30204
917	25604	30178
918	25632	30151
919	25661	30124
920	25688	30095
921	25715	30065
922	25737	30032
923	25764	30002
924	25788	29970
925	25815	29942
926	25845	29916
927	25871	29885
928	25898	29857
929	25925	29828
930	25956	29804
931	25983	29775
932	26010	29746
933	26039	29719
934	26065	29689
935	26096	29665
936	26127	29641
937	26154	29611
938	26178	29580
939	26202	29547
940	26235	29524
941	26262	29496
942	26297	29476
943	26326	29450
944	26359	29428
945	26386	29398
946	26411	29368
947	26437	29338
948	26466	29310
949	26496	29285
950	26525	29258
951	26553	29231
952	26581	29203
953	26607	29173
954	26634	29144
955	26662	29116
956	26685	29084
957	26712	29054
958	26735	29021
959	26756	28986
960	26781	28954
961	26808	28926
962	26836	28898
963	26863	28869
964	26889	28840
965	26924	28820
966	26952	28791
967	26976	28760
968	26997	28724
969	27025	28696
970	27050	28665
971	27079	28639
972	27103	28607
973	27127	28576
974	27155	28548
975	27177	28514
976	27206	28487
977	27234	28460
978	27261	28431
979	27288	28402
980	27313	28371
981	27341	28343
982	27366	28312
983	27391	28282
984	27421	28256
985	27446	28225
986	27476	28200
987	27501	28169
988	27526	28139
989	27553	28110
990	27575	28076
991	27604	28049
992	27629	28018
993	27657	27990
994	27679	27957
995	27705	27928
996	27730	27897
997	27757	27868
998	27783	27838
999	27812	27812
1000	27842	27787
1001	27870	27759
1002	27896	27729
1003	27920	27698
1004	27941	27663
1005	27968	27635
1006	27997	27608
1007	28021	27576
1008	28045	27545
1009	28074	27518
1010	28106	27494
1011	28132	27465
1012	28160	27437
1013	28182	27404
1014	28212	27378
1015	28236	27347
1016	28270	27325
1017	28293	27293
1018	28314	27258
1019	28344	27232
1020	28368	27201
1021	28394	27172
1022	28418	27141
1023	28448	27115
1024	28481	27092
1025	28506	27061
1026	28539	27039
1027	28569	27013
1028	28596	26984
1029	28624	26957
1030	28654	26931
1031	28677	26898
1032	28702	26869
1033	28729	26840
1034	28758	26813
1035	28787	26786
1036	28816	26760
1037	28844	26732
1038	28865	26698
1039	28890	26667
1040	28912	26635
1041	28939	26606
1042	28965	26577
1043	28992	26549
1044	29020	26520
1045	29049	26494
1046	29076	26465
1047	29103	26437
1048	29128	26406
1049	29159	26382
1050	29189	26356
1051	29213	26325
1052	29234	26291
1053	29255	26257
1054	29275	26223
1055	29299	26191
1056	29333	26170
1057	29361	26141
1058	29386	26111
1059	29409	26080
1060	29437	26052
1061	29465	26024
1062	29492	25996
1063	29515	25965
1064	29540	25934
1065	29567	25906
1066	29589	25873
1067	29618	25847
1068	29647	25820
1069	29678	25794
1070	29702	25764
1071	29731	25737
1072	29753	25704
1073	29784	25680
1074	29815	25655
1075	29841	25625
1076	29871	25600
1077	29898	25571
1078	29919	25538
1079	29943	25507
1080	29964	25474
1081	29991	25445
1082	30017	25416
1083	30044	25388
1084	30071	25359
1085	30097	25330
1086	30126	25304
1087	30152	25275
1088	30178	25245
1089	30209	25220
1090	30238	25194
1091	30261	25162
1092	30289	25135
1093	30311	25102
1094	30338	25073
1095	30366	25046
1096	30390	25015
1097	30418	24988
1098	30443	24958
1099	30474	24933
1100	30499	24904
1101	30527	24876
1102	30553	24847
1103	30574	24814
1104	30601	24785
1105	30625	24754
1106	30649	24724
1107	30674	24694
1108	30698	24663
1109	30722	24633
1110	30745	24601
1111	30770	24572
1112	30798	24544
1113	30825	24516
1114	30848	24485
1115	30875	24456
1116	30899	24426
1117	30925	24397
1118	30960	24375
1119	30991	24350
1120	31016	24320
1121	31039	24289
1122	31069	24263
1123	31101	24239
1124	31128	24210
1125	31157	24184
1126	31182	24155
1127	31208	24125
1128	31235	24097
1129	31263	24069
1130	31286	24038
1131	31314	24011
1132	31338	23981
1133	31364	23951
1134	31395	23927
1135	31423	23899
1136	31445	23867
1137	31468	23836
1138	31493	23806
1139	31515	23774
1140	31544	23748
1141	31569	23718
1142	31594	23689
1143	31626	23664
1144	31648	23632
1145	31671	23601
1146	31692	23569
1147	31720	23541
1148	31749	23514
1149	31778	23488
1150	31809	23463
1151	31836	23435
1152	31864	23408
1153	31894	23382
1154	31925	23357
1155	31955	23330
1156	31979	23300
1157	32003	23270
1158	32034	23245
1159	32060	23216
1160	32083	23185
1161	32110	23157
1162	32135	23127
1163	32164	23101
1164	32197	23076
1165	32224	23049
1166	32258	23026
1167	32291	23002
1168	32316	22972
1169	32348	22948
1170	32376	22920
1171	32408	22896
1172	32438	22869
1173	32464	22841
1174	32485	22809
1175	32512	22780
1176	32537	22751
1177	32561	22720
1178	32587	22692
1179	32611	22662
1180	32638	22634
1181	32671	22610
1182	32693	22578
1183	32719	22549
1184	32749	22523
1185	32780	22498
1186	32810	22472
1187	32835	22443
1188	32861	22414
1189	32886	22384
1190	32919	22361
1191	32946	22333
1192	32974	22305
1193	32999	22276
1194	33025	22247
1195	33054	22220
1196	33079	22191
1197	33108	22164
1198	33135	22136
1199	33162	22108
1200	33185	22077
1201	33216	22052
1202	33238	22021
1203	33262	21990
1204	33287	21961
1205	33313	21932
1206	33338	21903
1207	33359	21871
1208	33382	21840
1209	33416	21817
1210	33446	21791
1211	33477	21765
1212	33505	21738
1213	33529	21708
1214	33560	21683
1215	33591	21657
1216	33622	21632
1217	33648	21603
1218	33676	21576
1219	33700	21546
1220	33721	21514
1221	33749	21487
1222	33780	21461
1223	33803	21430
1224	33833	21404
1225	33857	21375
1226	33879	21343
1227	33905	21314
1228	33926	21283
1229	33952	21254
1230	33975	21224
1231	34003	21197
1232	34027	21167
1233	34051	21137
1234	34075	21107
1235	34099	21077
1236	34123	21048
1237	34149	21019
1238	34176	20991
1239	34199	20960
1240	34224	20931
1241	34250	20903
1242	34273	20873
1243	34295	20841
1244	34319	20812
1245	34347	20785
1246	34374	20757
1247	34400	20728
1248	34428	20701
1249	34459	20675
1250	34487	20648
1251	34513	20620
1252	34534	20588
1253	34556	20557
1254	34582	20529
1255	34608	20500
1256	34633	20471
1257	34656	20441
1258	34681	20412
1259	34710	20385
1260	34735	20356
1261	34760	20327
1262	34791	20301
1263	34821	20275
1264	34851	20249
1265	34881	20223
1266	34902	20192
1267	34927	20163
1268	34950	20133
1269	34976	20104
1270	35006	20078
1271	35029	20048
1272	35055	20020
1273	35082	19992
1274	35105	19962
1275	35129	19932
1276	35155	19904
1277	35185	19878
1278	35208	19847
1279	35233	19818
1280	35253	19787
1281	35280	19759
1282	35305	19730
1283	35332	19702
1284	35354	19672
1285	35384	19645
1286	35406	19615
1287	35430	19585
1288	35456	19557
1289	35487	19531
1290	35513	19503
1291	35541	19476
1292	35565	19447
1293	35596	19421
1294	35620	19391
1295	35647	19363
1296	35679	19339
1297	35706	19310
1298	35729	19281
1299	35757	19254
1300	35783	19225
1301	35811	19198
1302	35838	19170
1303	35863	19142
1304	35885	19111
1305	35908	19081
1306	35932	19052
1307	35964	19027
1308	35987	18997
1309	36010	18967
1310	36036	18939
1311	36064	18911
1312	36086	18881
1313	36114	18854
1314	36137	18824
1315	36162	18795
1316	36185	18765
1317	36211	18737
1318	36233	18707
1319	36262	18680
1320	36286	18651
1321	36315	18624
1322	36343	18597
1323	36371	18570
1324	36397	18542
1325	36421	18513
1326	36448	18485
1327	36480	18459
1328	36510	18434
1329	36535	18405
1330	36558	18375
1331	36582	18346
1332	36611	18319
1333	36632	18288
1334	36662	18262
1335	36688	18234
1336	36714	18206
1337	36745	18180
1338	36773	18153
1339	36799	18125
1340	36824	18096
1341	36848	18067
1342	36876	18040
1343	36900	18010
1344	36928	17983
1345	36955	17955
1346	36978	17926
1347	37003	17898
1348	37034	17871
1349	37065	17846
1350	37085	17815
1351	37108	17785
1352	37133	17757
1353	37158	17728
1354	37190	17703
1355	37214	17674
1356	37239	17645
1357	37264	17617
1358	37291	17589
1359	37324	17564
1360	37348	17535
1361	37377	17508
1362	37398	17478
1363	37422	17449
1364	37453	17423
1365	37481	17396
1366	37510	17369
1367	37534	17340
1368	37562	17313
1369	37589	17285
1370	37615	17257
1371	37643	17230
1372	37666	17200
1373	37692	17173
1374	37716	17143
1375	37740	17115
1376	37764	17086
1377	37788	17057
1378	37817	17030
1379	37838	16999
1380	37860	16969
1381	37887	16942
1382	37916	16915
1383	37943	16888
1384	37970	16860
1385	38000	16834
1386	38031	16808
1387	38060	16781
1388	38088	16754
1389	38116	16727
1390	38152	16703
1391	38183	16677
1392	38210	16650
1393	38238	16623
1394	38262	16594
1395	38288	16566
1396	38319	16540
1397	38348	16513
1398	38381	16488
1399	38409	16461
1400	38445	16437
1401	38471	16409
1402	38501	16383
1403	38527	16355
1404	38561	16330
1405	38586	16301
1406	38617	16276
1407	38653	16251
1408	38679	16223
1409	38710	16198
1410	38732	16168
1411	38757	16139
1412	38786	16113
1413	38812	16084
1414	38840	16057
1415	38866	16029
1416	38893	16002
1417	38916	15972
1418	38946	15946
1419	38969	15917
1420	38995	15889
1421	39024	15862
1422	39049	15833
1423	39076	15806
1424	39105	15779
1425	39134	15752
1426	39158	15723
1427	39190	15697
1428	39220	15671
1429	39245	15643
1430	39269	15614
1431	39297	15587
1432	39324	15559
1433	39351	15532
1434	39376	15503
1435	39401	15475
1436	39423	15445
1437	39451	15418
1438	39472	15388
1439	39495	15359
1440	39525	15332
1441	39550	15304
1442	39578	15277
1443	39617	15254
1444	39649	15228
1445	39684	15204
1446	39717	15178
1447	39741	15150
1448	39764	15120
1449	39792	15093
1450	39824	15068
1451	39852	15040
1452	39879	15013
1453	39909	14986
1454	39935	14958
1455	39963	14931
1456	39986	14902
1457	40014	14875
1458	40040	14847
1459	40069	14820
1460	40096	14792
1461	40121	14764
1462	40148	14736
1463	40174	14708
1464	40199	14680
1465	40228	14653
1466	40250	14624
1467	40272	14594
1468	40301	14567
1469	40333	14541
1470	40362	14515
1471	40389	14487
1472	40417	14460
1473	40445	14433
1474	40470	14404
1475	40495	14376
1476	40519	14347
1477	40548	14320
1478	40573	14292
1479	40597	14264
1480	40626	14237
1481	40649	14207
1482	40671	14178
1483	40699	14151
1484	40723	14122
1485	40750	14095
1486	40772	14066
1487	40798	14038
1488	40824	14010
1489	40852	13983
1490	40878	13955
1491	40908	13928
1492	40934	13900
1493	40966	13874
1494	40993	13847
1495	41020	13819
1496	41045	13791
1497	41075	13764
1498	41099	13736
1499	41126	13708
1500	41153	13681
1501	41178	13653
1502	41201	13624
1503	41226	13596
1504	41253	13568
1505	41277	13539
1506	41300	13510
1507	41325	13482
1508	41355	13456
1509	41381	13428
1510	41405	13399
1511	41430	13371
1512	41453	13342
1513	41481	13315
1514	41507	13287
1515	41529	13258
1516	41552	13229
1517	41573	13200
1518	41597	13172
1519	41619	13143
1520	41642	13114
1521	41670	13086
1522	41695	13058
1523	41719	13030
1524	41746	13002
1525	41775	12976
1526	41803	12948
1527	41824	12919
1528	41847	12890
1529	41877	12864
1530	41900	12835
1531	41924	12807
1532	41946	12778
1533	41972	12750
1534	41997	12722
1535	42024	12694
1536	42053	12668
1537	42078	12639
1538	42097	12610
1539	42121	12581
1540	42148	12554
1541	42178	12527
1542	42208	12501
1543	42240	12475
1544	42268	12447
1545	42294	12420
1546	42325	12393
1547	42348	12365
1548	42374	12337
1549	42400	12309
1550	42424	12281
1551	42446	12252
1552	42470	12224
1553	42498	12197
1554	42520	12168
1555	42545	12140
1556	42571	12112
1557	42595	12084
1558	42623	12057
1559	42648	12029
1560	42671	12000
1561	42696	11972
1562	42719	11944
1563	42743	11915
1564	42766	11887
1565	42795	11860
1566	42825	11833
1567	42849	11805
1568	42873	11777
1569	42898	11749
1570	42923	11721
1571	42946	11692
1572	42971	11664
1573	42998	11637
1574	43018	11608
1575	43040	11579
1576	43066	11551
1577	43089	11523
1578	43118	11496
1579	43139	11467
1580	43160	11438
1581	43185	11410
1582	43207	11381
1583	43235	11354
1584	43263	11327
1585	43288	11299
1586	43316	11272
1587	43341	11244
1588	43361	11215
1589	43382	11186
1590	43408	11159
1591	43435	11131
1592	43461	11104
1593	43489	11076
1594	43515	11049
1595	43538	11021
1596	43566	10994
1597	43591	10966
1598	43619	10938
1599	43646	10911
1600	43668	10882
1601	43692	10855
1602	43716	10826
1603	43739	10798
1604	43761	10770
1605	43785	10741
1606	43809	10713
1607	43836	10686
1608	43865	10659
1609	43898	10633
1610	43926	10606
1611	43950	10578
1612	43981	10552
1613	44010	10525
1614	44029	10496
1615	44057	10469
1616	44083	10441
1617	44106	10413
1618	44129	10385
1619	44153	10356
1620	44176	10328
1621	44204	10301
1622	44227	10273
1623	44257	10246
1624	44287	10220
1625	44316	10193
1626	44346	10166
1627	44375	10139
1628	44398	10111
1629	44426	10084
1630	44452	10057
1631	44476	10029
1632	44503	10001
1633	44525	9973
1634	44551	9945
1635	44572	9917
1636	44599	9889
1637	44622	9861
1638	44645	9833
1639	44669	9805
1640	44698	9778
1641	44725	9751
1642	44749	9723
1643	44774	9695
1644	44798	9667
1645	44826	9640
1646	44855	9613
1647	44878	9585
1648	44910	9559
1649	44936	9531
1650	44962	9504
1651	44991	9477
1652	45019	9450
1653	45044	9422
1654	45068	9394
1655	45093	9367
1656	45122	9340
1657	45153	9313
1658	45180	9286
1659	45202	9258
1660	45222	9229
1661	45249	9202
1662	45276	9175
1663	45304	9147
